file_name,alloy,card,n_labeled,n_rows,frac_labeled
AA5xxx Card - 043A.docx,AA5xxx,043A,1,1,1.0
AA5xxx Card - 043B.docx,AA5xxx,043B,1,1,1.0
AA5xxx Card - 043C.docx,AA5xxx,043C,1,1,1.0
AA5xxx Card - 043D.docx,AA5xxx,043D,1,1,1.0
AA5xxx Card - 043E.docx,AA5xxx,043E,1,1,1.0
AA5xxx Card - 043F.docx,AA5xxx,043F,1,1,1.0
AA5xxx Card - 044A.docx,AA5xxx,044A,1,1,1.0
AA5xxx Card - 044B.docx,AA5xxx,044B,1,1,1.0
AA5xxx Card - 044C.docx,AA5xxx,044C,1,1,1.0
AA5xxx Card - 044D.docx,AA5xxx,044D,1,1,1.0
AA5xxx Card - 044E.docx,AA5xxx,044E,1,1,1.0
AA5xxx Card - 045A.docx,AA5xxx,045A,1,1,1.0
AA5xxx Card - 045B.docx,AA5xxx,045B,1,1,1.0
AA5xxx Card - 045C.docx,AA5xxx,045C,0,1,0.0
AA5xxx Card - 045D.docx,AA5xxx,045D,1,1,1.0
AA5xxx Card - 045E.docx,AA5xxx,045E,1,1,1.0
AA5xxx Card - 045F.docx,AA5xxx,045F,1,1,1.0
AA5xxx Card - 046A.docx,AA5xxx,046A,1,1,1.0
AA5xxx Card - 046B.docx,AA5xxx,046B,1,1,1.0
AA5xxx Card - 046C.docx,AA5xxx,046C,1,1,1.0
AA5xxx Card - 046D.docx,AA5xxx,046D,1,1,1.0
AA5xxx Card - 047A.docx,AA5xxx,047A,1,1,1.0
AA5xxx Card - 047B.docx,AA5xxx,047B,1,1,1.0
AA5xxx Card - 047C.docx,AA5xxx,047C,1,1,1.0
AA5xxx Card - 047D.docx,AA5xxx,047D,1,1,1.0
AA5xxx Card - 047E.docx,AA5xxx,047E,1,1,1.0
AA5xxx Card - 048A.docx,AA5xxx,048A,1,1,1.0
AA5xxx Card - 049A.docx,AA5xxx,049A,1,1,1.0
AA5xxx Card - 049B.docx,AA5xxx,049B,1,1,1.0
AA5xxx Card - 050A.docx,AA5xxx,050A,1,1,1.0
AA5xxx Card - 050B.docx,AA5xxx,050B,1,1,1.0
AA5xxx Card - 050C.docx,AA5xxx,050C,1,1,1.0
AA5xxx Card - 050D.docx,AA5xxx,050D,1,1,1.0
AA5xxx Card - 050E.docx,AA5xxx,050E,1,1,1.0
AA5xxx Card - 051A.docx,AA5xxx,051A,1,1,1.0
AA5xxx Card - 051B.docx,AA5xxx,051B,1,1,1.0
