file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness,Homogenization (Celsius/Minutes),Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Minutes),Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,,,,,,
AA5xxx Card - 012A.docx,AA5xxx,012A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,94,226,,21,0.9,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 340°C 2 hours",17.5,N/A,,,,,,,
AA5xxx Card - 012B.docx,AA5xxx,012B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,90.2,223,,19.5,0.8,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",18.5,N/A,,,,,,,
AA5xxx Card - 012C.docx,AA5xxx,012C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,92,214,,21.8,0.8,DC,635,540°C > 5 hours,99.6,52,"Batch annealing, 340°C 2 hours",18.7,N/A,,,,,,,
AA5xxx Card - 012D.docx,AA5xxx,012D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,87,218,,21.3,0.7,DC,635,540°C > 5 hours,99.6,54,"Batch annealing, 340°C 2 hours",22,N/A,,,,,,,
AA5xxx Card - 012E.docx,AA5xxx,012E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,80,215,,23,0.4,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",31,N/A,,,,,,,
AA5xxx Card - 012F.docx,AA5xxx,012F,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,75,215,,26,0,DC,635,540°C > 5 hours,99.6,26,"Batch annealing, 340°C 2 hours",37.3,N/A,,,,,,,
AA5xxx Card - 012G.docx,AA5xxx,012G,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,75,214,,25,0,DC,635,540°C > 5 hours,99.6,18,"Batch annealing, 340°C 2 hours",38.5,N/A,,,,,,,
AA5xxx Card - 013A.docx,AA5xxx,013A,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,155.4,300,,23,1.3,DC,635,540°C > 5 hours,99.6,80,"Batch annealing, 340°C 2 hours",9.4,N/A,,,,,,,
AA5xxx Card - 013B.docx,AA5xxx,013B,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,151,297,,22.5,1.2,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",10,N/A,,,,,,,
AA5xxx Card - 013C.docx,AA5xxx,013C,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,150,297,,24,1.2,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",10.5,N/A,,,,,,,
